pandaid,computingsite,cpuconsumptiontime,corecount,noutputdatafiles,outputfilebytes,files_info
12,FrDF,907,8,3,1985039819,"{""lsst_Coadd_12_0000.fits"":82996532,""lsst_Coadd_12_0001.fits"":103797508,""lsst_Coadd_12_0002.fits"":68288581,""lsst_Coadd_12_0003.fits"":98704951,""lsst_Coadd_12_0004.fits"":82297822,""lsst_Coadd_12_0005.fits"":108307258,""lsst_Coadd_12_0006.fits"":88530008,""lsst_Coadd_12_0007.fits"":116917748,""lsst_Coadd_12_0008.fits"":106690201,""lsst_Coadd_12_0009.fits"":91802800,""lsst_Coadd_12_0010.fits"":110399600,""lsst_Coadd_12_0011.fits"":68822340,""lsst_Coadd_12_0012.fits"":84658381,""lsst_Coadd_12_0013.fits"":106579351,""lsst_Coadd_12_0014.fits"":76238747,""lsst_Coadd_12_0015.fits"":74998778,""lsst_Coadd_12_0016.fits"":81556896,""lsst_Coadd_12_0017.fits"":93030728,""lsst_Coadd_12_0018.fits"":143744246,""lsst_Coadd_12_0019.fits"":114357637,""lsst_Coadd_12_0020.fits"":72728550,""lsst_Coadd_12_0021.fits"":80627242,""lsst_Coadd_12_0022.fits"":107597089,""lsst_Coadd_12_0023.fits"":104326396,""lsst_Coadd_12_0024.fits"":94104013,""lsst_Coadd_12_0025.fits"":94600521,""lsst_Coadd_12_0026.fits"":104446788,""lsst_Coadd_12_0027.fits"":117727209,""lsst_Coadd_12_0028.fits"":95655366,""lsst_Coadd_12_0029.fits"":132630049,""lsst_Coadd_12_0030.fits"":128746813,""lsst_Coadd_12_0031.fits"":85501845,""lsst_Coadd_12_0032.fits"":116412244,""lsst_Coadd_12_0033.fits"":89185080,""lsst_Coadd_12_0034.fits"":90171067,""lsst_Coadd_12_0035.fits"":113245107,""lsst_Coadd_12_0036.fits"":109401805,""lsst_Coadd_12_0037.fits"":58639484,""lsst_Coadd_12_0038.fits"":96173029,""lsst_Coadd_12_0039.fits"":111661209,""lsst_Coadd_12_0040.fits"":63778620}"
13,Base,53,1,1,42666896,"{""lsst_Prompt_ISR_13_0000.fits"":47407663}"
14,USDF,151,4,3,343516215,"{""lsst_SingleFrame_Cal_14_0000.fits"":93719704,""lsst_SingleFrame_Cal_14_0001.fits"":136744100,""lsst_SingleFrame_Cal_14_0002.fits"":81823665}"
15,FrDF,315,8,1,137590144,"{""lsst_ForcedPhotom_15_0000.fits"":49386500,""lsst_ForcedPhotom_15_0001.fits"":40341527,""lsst_ForcedPhotom_15_0002.fits"":50163487,""lsst_ForcedPhotom_15_0003.fits"":53659904,""lsst_ForcedPhotom_15_0004.fits"":54297473,""lsst_ForcedPhotom_15_0005.fits"":51006006,""lsst_ForcedPhotom_15_0006.fits"":57701818,""lsst_ForcedPhotom_15_0007.fits"":30963712,""lsst_ForcedPhotom_15_0008.fits"":51721863,""lsst_ForcedPhotom_15_0009.fits"":46128894,""lsst_ForcedPhotom_15_0010.fits"":49939775,""lsst_ForcedPhotom_15_0011.fits"":52866292,""lsst_ForcedPhotom_15_0012.fits"":56748269,""lsst_ForcedPhotom_15_0013.fits"":43025201}"
16,Base,37,1,2,40342533,"{""lsst_Prompt_ISR_16_0000.fits"":44825037}"
17,Base,33,1,2,28027189,"{""lsst_Prompt_ISR_17_0000.fits"":31141322}"
18,Base,40,1,2,55373069,"{""lsst_Prompt_ISR_18_0000.fits"":61525633}"
19,USDF,115,4,2,424406504,"{""lsst_SingleFrame_Cal_19_0000.fits"":95938362,""lsst_SingleFrame_Cal_19_0001.fits"":122595629,""lsst_SingleFrame_Cal_19_0002.fits"":167290104}"
20,USDF,627,8,2,703169691,"{""lsst_Coadd_20_0000.fits"":107806210,""lsst_Coadd_20_0001.fits"":58218980,""lsst_Coadd_20_0002.fits"":93564774,""lsst_Coadd_20_0003.fits"":83052379,""lsst_Coadd_20_0004.fits"":88056330,""lsst_Coadd_20_0005.fits"":83299636,""lsst_Coadd_20_0006.fits"":133000589,""lsst_Coadd_20_0007.fits"":85538558,""lsst_Coadd_20_0008.fits"":87653992,""lsst_Coadd_20_0009.fits"":102975743,""lsst_Coadd_20_0010.fits"":97520209,""lsst_Coadd_20_0011.fits"":97278492,""lsst_Coadd_20_0012.fits"":130293711,""lsst_Coadd_20_0013.fits"":158079779}"
21,USDF,495,8,2,49068114,"{""lsst_ForcedPhotom_21_0000.fits"":38283836,""lsst_ForcedPhotom_21_0001.fits"":57095750,""lsst_ForcedPhotom_21_0002.fits"":43435201,""lsst_ForcedPhotom_21_0003.fits"":47903151,""lsst_ForcedPhotom_21_0004.fits"":58622636}"
22,Base,41,1,1,34615765,"{""lsst_Prompt_ISR_22_0000.fits"":38461962}"
23,USDF,183,4,1,150615323,"{""lsst_SingleFrame_Cal_23_0000.fits"":136923021}"
24,USDF,193,8,3,172238577,"{""lsst_ForcedPhotom_24_0000.fits"":43345748,""lsst_ForcedPhotom_24_0001.fits"":51446781,""lsst_ForcedPhotom_24_0002.fits"":50969412,""lsst_ForcedPhotom_24_0003.fits"":44772643,""lsst_ForcedPhotom_24_0004.fits"":44853662,""lsst_ForcedPhotom_24_0005.fits"":34254538,""lsst_ForcedPhotom_24_0006.fits"":55414702,""lsst_ForcedPhotom_24_0007.fits"":71805834,""lsst_ForcedPhotom_24_0008.fits"":45153931,""lsst_ForcedPhotom_24_0009.fits"":60890166,""lsst_ForcedPhotom_24_0010.fits"":61506443,""lsst_ForcedPhotom_24_0011.fits"":48544419,""lsst_ForcedPhotom_24_0012.fits"":54581663,""lsst_ForcedPhotom_24_0013.fits"":41672608,""lsst_ForcedPhotom_24_0014.fits"":52079619,""lsst_ForcedPhotom_24_0015.fits"":42743483,""lsst_ForcedPhotom_24_0016.fits"":57157234}"
25,USDF,554,8,4,1869852626,"{""lsst_Coadd_25_0000.fits"":108084443,""lsst_Coadd_25_0001.fits"":109430975,""lsst_Coadd_25_0002.fits"":72144571,""lsst_Coadd_25_0003.fits"":83781565,""lsst_Coadd_25_0004.fits"":96177242,""lsst_Coadd_25_0005.fits"":88760353,""lsst_Coadd_25_0006.fits"":80809262,""lsst_Coadd_25_0007.fits"":88375195,""lsst_Coadd_25_0008.fits"":83591198,""lsst_Coadd_25_0009.fits"":74223028,""lsst_Coadd_25_0010.fits"":109385486,""lsst_Coadd_25_0011.fits"":81349013,""lsst_Coadd_25_0012.fits"":99209509,""lsst_Coadd_25_0013.fits"":82859644,""lsst_Coadd_25_0014.fits"":87595182,""lsst_Coadd_25_0015.fits"":104112551,""lsst_Coadd_25_0016.fits"":95699444,""lsst_Coadd_25_0017.fits"":102820360,""lsst_Coadd_25_0018.fits"":95656397,""lsst_Coadd_25_0019.fits"":93974560,""lsst_Coadd_25_0020.fits"":94549775,""lsst_Coadd_25_0021.fits"":102722360,""lsst_Coadd_25_0022.fits"":74658737,""lsst_Coadd_25_0023.fits"":116532938,""lsst_Coadd_25_0024.fits"":80668916,""lsst_Coadd_25_0025.fits"":95143931,""lsst_Coadd_25_0026.fits"":82358716,""lsst_Coadd_25_0027.fits"":113167138,""lsst_Coadd_25_0028.fits"":73437600,""lsst_Coadd_25_0029.fits"":85160167,""lsst_Coadd_25_0030.fits"":94081350,""lsst_Coadd_25_0031.fits"":89414271,""lsst_Coadd_25_0032.fits"":124249628,""lsst_Coadd_25_0033.fits"":93279610,""lsst_Coadd_25_0034.fits"":111158941,""lsst_Coadd_25_0035.fits"":126704920,""lsst_Coadd_25_0036.fits"":102363111,""lsst_Coadd_25_0037.fits"":75580036,""lsst_Coadd_25_0038.fits"":101353244,""lsst_Coadd_25_0039.fits"":65079886}"
26,USDF,283,8,2,64286170,"{""lsst_ForcedPhotom_26_0000.fits"":50834975,""lsst_ForcedPhotom_26_0001.fits"":36953022,""lsst_ForcedPhotom_26_0002.fits"":65961653,""lsst_ForcedPhotom_26_0003.fits"":63441253,""lsst_ForcedPhotom_26_0004.fits"":54641287,""lsst_ForcedPhotom_26_0005.fits"":49598660}"
27,Base,32,1,2,37149751,"{""lsst_Prompt_ISR_27_0000.fits"":41277502}"
28,UKDF,417,8,4,1421089975,"{""lsst_Coadd_28_0000.fits"":107521557,""lsst_Coadd_28_0001.fits"":81316898,""lsst_Coadd_28_0002.fits"":96727819,""lsst_Coadd_28_0003.fits"":99699535,""lsst_Coadd_28_0004.fits"":97968134,""lsst_Coadd_28_0005.fits"":79655818,""lsst_Coadd_28_0006.fits"":82226878,""lsst_Coadd_28_0007.fits"":126048260,""lsst_Coadd_28_0008.fits"":139206123,""lsst_Coadd_28_0009.fits"":94183035,""lsst_Coadd_28_0010.fits"":111764747,""lsst_Coadd_28_0011.fits"":77131757,""lsst_Coadd_28_0012.fits"":92765792,""lsst_Coadd_28_0013.fits"":96369041,""lsst_Coadd_28_0014.fits"":84469949,""lsst_Coadd_28_0015.fits"":112015718,""lsst_Coadd_28_0016.fits"":75890290,""lsst_Coadd_28_0017.fits"":157292311,""lsst_Coadd_28_0018.fits"":106209100,""lsst_Coadd_28_0019.fits"":122704822,""lsst_Coadd_28_0020.fits"":97279721,""lsst_Coadd_28_0021.fits"":113178158,""lsst_Coadd_28_0022.fits"":74397461,""lsst_Coadd_28_0023.fits"":93793900,""lsst_Coadd_28_0024.fits"":88190919,""lsst_Coadd_28_0025.fits"":130455832,""lsst_Coadd_28_0026.fits"":92029824,""lsst_Coadd_28_0027.fits"":111686551}"
29,FrDF,103,4,2,332420361,"{""lsst_SingleFrame_Cal_29_0000.fits"":126801824,""lsst_SingleFrame_Cal_29_0001.fits"":101695952,""lsst_SingleFrame_Cal_29_0002.fits"":73702553}"
30,FrDF,273,8,2,81462108,"{""lsst_ForcedPhotom_30_0000.fits"":46056993,""lsst_ForcedPhotom_30_0001.fits"":56531479,""lsst_ForcedPhotom_30_0002.fits"":46648731,""lsst_ForcedPhotom_30_0003.fits"":50239744,""lsst_ForcedPhotom_30_0004.fits"":55265472,""lsst_ForcedPhotom_30_0005.fits"":51727311,""lsst_ForcedPhotom_30_0006.fits"":48169203,""lsst_ForcedPhotom_30_0007.fits"":52671607}"
31,UKDF,345,8,3,148337289,"{""lsst_ForcedPhotom_31_0000.fits"":41526539,""lsst_ForcedPhotom_31_0001.fits"":48663708,""lsst_ForcedPhotom_31_0002.fits"":51929266,""lsst_ForcedPhotom_31_0003.fits"":41095502,""lsst_ForcedPhotom_31_0004.fits"":62780205,""lsst_ForcedPhotom_31_0005.fits"":48463534,""lsst_ForcedPhotom_31_0006.fits"":34167386,""lsst_ForcedPhotom_31_0007.fits"":51861397,""lsst_ForcedPhotom_31_0008.fits"":55414751,""lsst_ForcedPhotom_31_0009.fits"":60875229,""lsst_ForcedPhotom_31_0010.fits"":68507608,""lsst_ForcedPhotom_31_0011.fits"":76975312,""lsst_ForcedPhotom_31_0012.fits"":52686411,""lsst_ForcedPhotom_31_0013.fits"":46739601}"
32,USDF,24,1,2,31904386,"{""lsst_Prompt_ISR_32_0000.fits"":35449318}"
33,UKDF,145,4,1,241734645,"{""lsst_SingleFrame_Cal_33_0000.fits"":122835040,""lsst_SingleFrame_Cal_33_0001.fits"":96923729}"
34,FrDF,223,4,1,86665556,"{""lsst_DiffImaging_34_0000.fits"":93560473,""lsst_DiffImaging_34_0001.fits"":112899742,""lsst_DiffImaging_34_0002.fits"":82424973}"
35,UKDF,89,4,2,369814735,"{""lsst_SingleFrame_Cal_35_0000.fits"":119687103,""lsst_SingleFrame_Cal_35_0001.fits"":94570073,""lsst_SingleFrame_Cal_35_0002.fits"":121938038}"
36,Base,29,1,2,42963451,"{""lsst_Prompt_ISR_36_0000.fits"":47737168}"
37,USDF,212,4,1,290237323,"{""lsst_SingleFrame_Cal_37_0000.fits"":186841319,""lsst_SingleFrame_Cal_37_0001.fits"":77010793}"
38,UKDF,142,4,3,329238334,"{""lsst_SingleFrame_Cal_38_0000.fits"":90539116,""lsst_SingleFrame_Cal_38_0001.fits"":86965172,""lsst_SingleFrame_Cal_38_0002.fits"":121803289}"
39,Base,34,1,1,41235919,"{""lsst_Prompt_ISR_39_0000.fits"":45817688}"
40,Base,35,1,1,39091003,"{""lsst_Prompt_ISR_40_0000.fits"":43434448}"
41,USDF,458,8,1,1038760960,"{""lsst_Coadd_41_0000.fits"":89503054,""lsst_Coadd_41_0001.fits"":95131794,""lsst_Coadd_41_0002.fits"":74948634,""lsst_Coadd_41_0003.fits"":87374795,""lsst_Coadd_41_0004.fits"":96025431,""lsst_Coadd_41_0005.fits"":113175219,""lsst_Coadd_41_0006.fits"":147332761,""lsst_Coadd_41_0007.fits"":81174133,""lsst_Coadd_41_0008.fits"":120448422,""lsst_Coadd_41_0009.fits"":81061676,""lsst_Coadd_41_0010.fits"":91340714,""lsst_Coadd_41_0011.fits"":69930910,""lsst_Coadd_41_0012.fits"":108452904,""lsst_Coadd_41_0013.fits"":88682203,""lsst_Coadd_41_0014.fits"":85168316,""lsst_Coadd_41_0015.fits"":87439184,""lsst_Coadd_41_0016.fits"":67098430,""lsst_Coadd_41_0017.fits"":130526212,""lsst_Coadd_41_0018.fits"":121928795,""lsst_Coadd_41_0019.fits"":122792128,""lsst_Coadd_41_0020.fits"":117986206}"
42,Base,34,1,2,43306137,"{""lsst_Prompt_ISR_42_0000.fits"":48117930}"
43,USDF,341,8,3,606825278,"{""lsst_Coadd_43_0000.fits"":87020619,""lsst_Coadd_43_0001.fits"":73791362,""lsst_Coadd_43_0002.fits"":88279145,""lsst_Coadd_43_0003.fits"":118048411,""lsst_Coadd_43_0004.fits"":120909741,""lsst_Coadd_43_0005.fits"":109240659,""lsst_Coadd_43_0006.fits"":114246553,""lsst_Coadd_43_0007.fits"":68057227,""lsst_Coadd_43_0008.fits"":88877353,""lsst_Coadd_43_0009.fits"":101815562,""lsst_Coadd_43_0010.fits"":70377464,""lsst_Coadd_43_0011.fits"":82991753,""lsst_Coadd_43_0012.fits"":89994707}"
44,USDF,345,8,4,689986382,"{""lsst_Coadd_44_0000.fits"":77985769,""lsst_Coadd_44_0001.fits"":97205670,""lsst_Coadd_44_0002.fits"":71598797,""lsst_Coadd_44_0003.fits"":77898890,""lsst_Coadd_44_0004.fits"":77984815,""lsst_Coadd_44_0005.fits"":96729296,""lsst_Coadd_44_0006.fits"":75957265,""lsst_Coadd_44_0007.fits"":101450052,""lsst_Coadd_44_0008.fits"":90019360,""lsst_Coadd_44_0009.fits"":83097146,""lsst_Coadd_44_0010.fits"":108567223,""lsst_Coadd_44_0011.fits"":85474256,""lsst_Coadd_44_0012.fits"":98110528,""lsst_Coadd_44_0013.fits"":131046233,""lsst_Coadd_44_0014.fits"":106847464}"
45,Base,45,1,1,33056316,"{""lsst_Prompt_ISR_45_0000.fits"":36729240}"
46,Base,24,1,1,29672470,"{""lsst_Prompt_ISR_46_0000.fits"":32969412}"
47,USDF,343,4,1,49198227,"{""lsst_DiffImaging_47_0000.fits"":88286308,""lsst_DiffImaging_47_0001.fits"":75707785}"
48,Base,28,1,2,51305409,"{""lsst_Prompt_ISR_48_0000.fits"":57006011}"
49,USDF,163,4,2,76282366,"{""lsst_DiffImaging_49_0000.fits"":102872155,""lsst_DiffImaging_49_0001.fits"":74947656,""lsst_DiffImaging_49_0002.fits"":76454743}"
50,USDF,47,1,1,36901263,"{""lsst_Prompt_ISR_50_0000.fits"":41001404}"
51,FrDF,128,4,2,207741861,"{""lsst_SingleFrame_Cal_51_0000.fits"":99141447,""lsst_SingleFrame_Cal_51_0001.fits"":89714791}"
52,USDF,309,8,3,192809700,"{""lsst_ForcedPhotom_52_0000.fits"":51990475,""lsst_ForcedPhotom_52_0001.fits"":61818701,""lsst_ForcedPhotom_52_0002.fits"":65550056,""lsst_ForcedPhotom_52_0003.fits"":45087475,""lsst_ForcedPhotom_52_0004.fits"":50628524,""lsst_ForcedPhotom_52_0005.fits"":40648454,""lsst_ForcedPhotom_52_0006.fits"":52229759,""lsst_ForcedPhotom_52_0007.fits"":52980853,""lsst_ForcedPhotom_52_0008.fits"":51860878,""lsst_ForcedPhotom_52_0009.fits"":45860300,""lsst_ForcedPhotom_52_0010.fits"":49173267,""lsst_ForcedPhotom_52_0011.fits"":38957401,""lsst_ForcedPhotom_52_0012.fits"":41510236,""lsst_ForcedPhotom_52_0013.fits"":59814401,""lsst_ForcedPhotom_52_0014.fits"":51630480,""lsst_ForcedPhotom_52_0015.fits"":50353887,""lsst_ForcedPhotom_52_0016.fits"":68525100,""lsst_ForcedPhotom_52_0017.fits"":50982259,""lsst_ForcedPhotom_52_0018.fits"":34445996}"
53,USDF,160,4,2,119598477,"{""lsst_DiffImaging_53_0000.fits"":114126680,""lsst_DiffImaging_53_0001.fits"":111211674,""lsst_DiffImaging_53_0002.fits"":70980409,""lsst_DiffImaging_53_0003.fits"":102342830}"
54,USDF,539,8,4,1070467653,"{""lsst_Coadd_54_0000.fits"":110426753,""lsst_Coadd_54_0001.fits"":77389590,""lsst_Coadd_54_0002.fits"":130437570,""lsst_Coadd_54_0003.fits"":115866454,""lsst_Coadd_54_0004.fits"":110884176,""lsst_Coadd_54_0005.fits"":65965225,""lsst_Coadd_54_0006.fits"":82558227,""lsst_Coadd_54_0007.fits"":93042516,""lsst_Coadd_54_0008.fits"":72296606,""lsst_Coadd_54_0009.fits"":93862330,""lsst_Coadd_54_0010.fits"":125183189,""lsst_Coadd_54_0011.fits"":82508722,""lsst_Coadd_54_0012.fits"":141766999,""lsst_Coadd_54_0013.fits"":64638198,""lsst_Coadd_54_0014.fits"":96351711,""lsst_Coadd_54_0015.fits"":80917759,""lsst_Coadd_54_0016.fits"":126189461,""lsst_Coadd_54_0017.fits"":115473943,""lsst_Coadd_54_0018.fits"":81451062,""lsst_Coadd_54_0019.fits"":91342295,""lsst_Coadd_54_0020.fits"":85918252,""lsst_Coadd_54_0021.fits"":96464268}"
55,Base,115,4,1,96004862,"{""lsst_SingleFrame_Cal_55_0000.fits"":87277148}"
56,USDF,586,8,3,2203954633,"{""lsst_Coadd_56_0000.fits"":101062876,""lsst_Coadd_56_0001.fits"":95364841,""lsst_Coadd_56_0002.fits"":80489020,""lsst_Coadd_56_0003.fits"":118659824,""lsst_Coadd_56_0004.fits"":110528079,""lsst_Coadd_56_0005.fits"":69724874,""lsst_Coadd_56_0006.fits"":111573241,""lsst_Coadd_56_0007.fits"":117061792,""lsst_Coadd_56_0008.fits"":117427219,""lsst_Coadd_56_0009.fits"":116580792,""lsst_Coadd_56_0010.fits"":91119109,""lsst_Coadd_56_0011.fits"":132871224,""lsst_Coadd_56_0012.fits"":69814686,""lsst_Coadd_56_0013.fits"":83291983,""lsst_Coadd_56_0014.fits"":91866672,""lsst_Coadd_56_0015.fits"":65353879,""lsst_Coadd_56_0016.fits"":97806658,""lsst_Coadd_56_0017.fits"":132348279,""lsst_Coadd_56_0018.fits"":142657767,""lsst_Coadd_56_0019.fits"":68422872,""lsst_Coadd_56_0020.fits"":124773755,""lsst_Coadd_56_0021.fits"":91792448,""lsst_Coadd_56_0022.fits"":106101265,""lsst_Coadd_56_0023.fits"":104200110,""lsst_Coadd_56_0024.fits"":108308556,""lsst_Coadd_56_0025.fits"":105524021,""lsst_Coadd_56_0026.fits"":134915470,""lsst_Coadd_56_0027.fits"":115894666,""lsst_Coadd_56_0028.fits"":113850657,""lsst_Coadd_56_0029.fits"":89442087,""lsst_Coadd_56_0030.fits"":109597423,""lsst_Coadd_56_0031.fits"":125008000,""lsst_Coadd_56_0032.fits"":120945317,""lsst_Coadd_56_0033.fits"":99702111,""lsst_Coadd_56_0034.fits"":104928079,""lsst_Coadd_56_0035.fits"":98006124,""lsst_Coadd_56_0036.fits"":100881139,""lsst_Coadd_56_0037.fits"":84646372,""lsst_Coadd_56_0038.fits"":129497322,""lsst_Coadd_56_0039.fits"":83491980,""lsst_Coadd_56_0040.fits"":96073816,""lsst_Coadd_56_0041.fits"":146302861}"
57,FrDF,591,8,3,1412428518,"{""lsst_Coadd_57_0000.fits"":148380348,""lsst_Coadd_57_0001.fits"":120142875,""lsst_Coadd_57_0002.fits"":83476183,""lsst_Coadd_57_0003.fits"":78157155,""lsst_Coadd_57_0004.fits"":102593824,""lsst_Coadd_57_0005.fits"":80000030,""lsst_Coadd_57_0006.fits"":101837566,""lsst_Coadd_57_0007.fits"":92984164,""lsst_Coadd_57_0008.fits"":63605778,""lsst_Coadd_57_0009.fits"":127728157,""lsst_Coadd_57_0010.fits"":75881056,""lsst_Coadd_57_0011.fits"":85151825,""lsst_Coadd_57_0012.fits"":79700590,""lsst_Coadd_57_0013.fits"":77741062,""lsst_Coadd_57_0014.fits"":100013431,""lsst_Coadd_57_0015.fits"":84941763,""lsst_Coadd_57_0016.fits"":98161234,""lsst_Coadd_57_0017.fits"":118937679,""lsst_Coadd_57_0018.fits"":123026602,""lsst_Coadd_57_0019.fits"":110967297,""lsst_Coadd_57_0020.fits"":109849562,""lsst_Coadd_57_0021.fits"":122228213,""lsst_Coadd_57_0022.fits"":90654837,""lsst_Coadd_57_0023.fits"":97882914,""lsst_Coadd_57_0024.fits"":95191644,""lsst_Coadd_57_0025.fits"":107234464,""lsst_Coadd_57_0026.fits"":94233454,""lsst_Coadd_57_0027.fits"":75937447,""lsst_Coadd_57_0028.fits"":78215883}"
58,USDF,241,8,2,144105951,"{""lsst_ForcedPhotom_58_0000.fits"":44363509,""lsst_ForcedPhotom_58_0001.fits"":48061429,""lsst_ForcedPhotom_58_0002.fits"":60645490,""lsst_ForcedPhotom_58_0003.fits"":53793029,""lsst_ForcedPhotom_58_0004.fits"":44664409,""lsst_ForcedPhotom_58_0005.fits"":48980917,""lsst_ForcedPhotom_58_0006.fits"":45859735,""lsst_ForcedPhotom_58_0007.fits"":39686030,""lsst_ForcedPhotom_58_0008.fits"":39608181,""lsst_ForcedPhotom_58_0009.fits"":60536148,""lsst_ForcedPhotom_58_0010.fits"":53222180,""lsst_ForcedPhotom_58_0011.fits"":41401774,""lsst_ForcedPhotom_58_0012.fits"":45421950,""lsst_ForcedPhotom_58_0013.fits"":50671231,""lsst_ForcedPhotom_58_0014.fits"":43613744}"
59,USDF,426,8,2,1619843247,"{""lsst_Coadd_59_0000.fits"":101142603,""lsst_Coadd_59_0001.fits"":72351791,""lsst_Coadd_59_0002.fits"":94694048,""lsst_Coadd_59_0003.fits"":121560248,""lsst_Coadd_59_0004.fits"":88587963,""lsst_Coadd_59_0005.fits"":126094101,""lsst_Coadd_59_0006.fits"":104604931,""lsst_Coadd_59_0007.fits"":98694491,""lsst_Coadd_59_0008.fits"":102132614,""lsst_Coadd_59_0009.fits"":76707493,""lsst_Coadd_59_0010.fits"":78119032,""lsst_Coadd_59_0011.fits"":137903292,""lsst_Coadd_59_0012.fits"":102553821,""lsst_Coadd_59_0013.fits"":101501635,""lsst_Coadd_59_0014.fits"":73125731,""lsst_Coadd_59_0015.fits"":100996679,""lsst_Coadd_59_0016.fits"":113986998,""lsst_Coadd_59_0017.fits"":113269576,""lsst_Coadd_59_0018.fits"":106472619,""lsst_Coadd_59_0019.fits"":81256672,""lsst_Coadd_59_0020.fits"":93555445,""lsst_Coadd_59_0021.fits"":80127667,""lsst_Coadd_59_0022.fits"":105344712,""lsst_Coadd_59_0023.fits"":151373829,""lsst_Coadd_59_0024.fits"":113387404,""lsst_Coadd_59_0025.fits"":96908571,""lsst_Coadd_59_0026.fits"":130674509,""lsst_Coadd_59_0027.fits"":100520843,""lsst_Coadd_59_0028.fits"":154012750,""lsst_Coadd_59_0029.fits"":134063124,""lsst_Coadd_59_0030.fits"":83961302}"
60,Base,47,1,2,35448977,"{""lsst_Prompt_ISR_60_0000.fits"":39387753}"
61,Base,35,1,2,40961891,"{""lsst_Prompt_ISR_61_0000.fits"":45513213}"
62,USDF,339,8,2,138805666,"{""lsst_ForcedPhotom_62_0000.fits"":35579045,""lsst_ForcedPhotom_62_0001.fits"":50975998,""lsst_ForcedPhotom_62_0002.fits"":55448377,""lsst_ForcedPhotom_62_0003.fits"":51515113,""lsst_ForcedPhotom_62_0004.fits"":44176696,""lsst_ForcedPhotom_62_0005.fits"":62691002,""lsst_ForcedPhotom_62_0006.fits"":48562028,""lsst_ForcedPhotom_62_0007.fits"":61842801,""lsst_ForcedPhotom_62_0008.fits"":84001132,""lsst_ForcedPhotom_62_0009.fits"":35335692,""lsst_ForcedPhotom_62_0010.fits"":51190094,""lsst_ForcedPhotom_62_0011.fits"":64879421,""lsst_ForcedPhotom_62_0012.fits"":47830931}"
